datetime,hits,total_bytes,unique_hosts,unique_urls,unique_methods,unique_versions,min_bytes,max_bytes,mean_bytes,std_bytes,median_bytes,count_success,count_redirect_301,count_redirect_302,count_cache_304,count_client_err,count_server_err,hits_lag_1,hits_lag_2,hits_lag_4,bytes_lag_1,bytes_lag_2,bytes_lag_4,hits_roll_mean_2,hits_roll_std_2,hits_roll_mean_4,hits_roll_std_4,bytes_roll_mean_2,bytes_roll_mean_4,bytes_roll_std_2,bytes_roll_std_4,success_rate,redirect_301_rate,redirect_302_rate,cache_304_rate,client_error_rate,server_error_rate,redirect_rate,error_rate,error_rate_lag_1,redirect_rate_lag_1,cache_rate_lag_1,hour,day_of_week,is_weekend,sin_hour,cos_hour,sin_dow,cos_dow,hits_diff_1,bytes_diff_1,hits_pct_change_1,bytes_pct_change_1,bytes_per_hit,is_gap,time_gap_sec
1995-07-01 00:00:00-04:00,810,16430564,115,253,1,1,0.0,1081049.0,20284.646913580247,68996.79429366442,3985.0,705,0,45,55,5,0,,,,,,,,,,,,,,,0.8703703703703703,0.0,0.05555555555555555,0.06790123456790123,0.006172839506172839,0.0,0.05555555555555555,0.006172839506172839,,,,0,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,,,,,20284.646913580247,0,
1995-07-01 00:15:00-04:00,945,18046060,134,281,3,1,0.0,946425.0,19096.359788359787,65257.39058941839,3985.0,848,0,42,50,5,0,810.0,,,16430564.0,,,877.5,95.45941546018392,,,17238312.0,,1142328.1765797427,,0.8973544973544973,0.0,0.044444444444444446,0.05291005291005291,0.005291005291005291,0.0,0.044444444444444446,0.005291005291005291,0.006172839506172839,0.05555555555555555,0.06790123456790123,0,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,135.0,1615496.0,0.16666666666666674,0.09832261387984009,19096.359788359787,0,900.0
1995-07-01 00:30:00-04:00,1006,22420824,130,311,1,1,0.0,1121554.0,22287.1013916501,59709.19992857972,4165.0,907,0,56,39,4,0,945.0,810.0,,18046060.0,16430564.0,,975.5,43.1335136523794,,,20233442.0,,3093425.2904907856,,0.9015904572564613,0.0,0.055666003976143144,0.03876739562624255,0.003976143141153081,0.0,0.055666003976143144,0.003976143141153081,0.005291005291005291,0.044444444444444446,0.05291005291005291,0,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,61.0,4374764.0,0.06455026455026447,0.242422113192575,22287.1013916501,0,900.0
1995-07-01 00:45:00-04:00,804,24088038,130,260,3,1,0.0,1121554.0,29960.246268656716,93142.23962241565,4179.0,732,0,35,27,10,0,1006.0,945.0,,22420824.0,18046060.0,,905.0,142.8355697996826,891.25,100.45023643575956,23254431.0,20246371.5,1178898.3250891487,3600388.9950053543,0.9104477611940298,0.0,0.043532338308457715,0.033582089552238806,0.012437810945273632,0.0,0.043532338308457715,0.012437810945273632,0.003976143141153081,0.055666003976143144,0.03876739562624255,0,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-202.0,1667214.0,-0.20079522862823063,0.07436006812238483,29960.246268656716,0,900.0
1995-07-01 01:00:00-04:00,750,17178646,117,237,2,1,0.0,1121554.0,22904.861333333334,87973.21374064895,4209.0,655,0,27,66,2,0,804.0,1006.0,810.0,24088038.0,22420824.0,16430564.0,777.0,38.18376618407357,876.25,119.33251861919281,20633342.0,20433392.0,4885677.9370760815,3346592.7420128873,0.8733333333333333,0.0,0.036,0.088,0.0026666666666666666,0.0,0.036,0.0026666666666666666,0.012437810945273632,0.043532338308457715,0.033582089552238806,1,5,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-54.0,-6909392.0,-0.06716417910447758,-0.2868391356738975,22904.861333333334,0,900.0
1995-07-01 01:15:00-04:00,679,18621759,108,219,1,1,0.0,1121554.0,27425.270986745214,85875.3273259179,4209.0,617,0,35,26,1,0,750.0,804.0,945.0,17178646.0,24088038.0,18046060.0,714.5,50.204581464244875,809.75,140.49050976252215,17900202.5,20577316.75,1020434.9883184622,3219671.39402428,0.9086892488954345,0.0,0.05154639175257732,0.03829160530191458,0.0014727540500736377,0.0,0.05154639175257732,0.0014727540500736377,0.0026666666666666666,0.036,0.088,1,5,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-71.0,1443113.0,-0.09466666666666668,0.08400621329527369,27425.270986745214,0,900.0
1995-07-01 01:30:00-04:00,833,25377107,119,253,3,1,0.0,1269716.0,30464.714285714286,105793.24583291219,4179.0,778,0,19,31,5,0,679.0,750.0,1006.0,18621759.0,17178646.0,22420824.0,756.0,108.89444430272832,766.5,67.71755065466168,21999433.0,21316387.5,4776752.380074982,4022992.9499343727,0.9339735894357744,0.0,0.022809123649459785,0.03721488595438175,0.006002400960384154,0.0,0.022809123649459785,0.006002400960384154,0.0014727540500736377,0.05154639175257732,0.03829160530191458,1,5,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,154.0,6755348.0,0.2268041237113403,0.36276637454066507,30464.714285714286,0,900.0
1995-07-01 01:45:00-04:00,742,20395343,120,239,3,1,0.0,946425.0,27486.985175202157,94464.05393919595,3985.0,673,0,33,34,2,0,833.0,679.0,804.0,25377107.0,18621759.0,24088038.0,787.5,64.34671708797582,751.0,63.21919539717879,22886225.0,20393213.75,3522639.10667102,3573546.0545392325,0.9070080862533693,0.0,0.0444743935309973,0.04582210242587601,0.0026954177897574125,0.0,0.0444743935309973,0.0026954177897574125,0.006002400960384154,0.022809123649459785,0.03721488595438175,1,5,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-91.0,-4981764.0,-0.10924369747899154,-0.19630937442948082,27486.985175202157,0,900.0
1995-07-01 02:00:00-04:00,697,14072828,105,248,2,1,0.0,1121554.0,20190.571018651364,73630.98878215889,3635.0,623,0,27,43,4,0,742.0,833.0,750.0,20395343.0,25377107.0,17178646.0,719.5,31.81980515339464,737.75,68.80588637609434,17234085.5,19616759.25,4470693.230653664,4673078.858701215,0.8938307030129125,0.0,0.03873744619799139,0.06169296987087518,0.005738880918220947,0.0,0.03873744619799139,0.005738880918220947,0.0026954177897574125,0.0444743935309973,0.04582210242587601,2,5,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-45.0,-6322515.0,-0.06064690026954178,-0.30999797355700265,20190.571018651364,0,900.0
1995-07-01 02:15:00-04:00,538,16074744,96,188,2,1,0.0,1121554.0,29878.706319702604,115188.61377928828,3985.0,491,0,27,15,5,0,697.0,742.0,679.0,14072828.0,20395343.0,18621759.0,617.5,112.42997820866105,702.5,123.39773093537825,15073786.0,18980005.5,1415568.3789658484,5014878.637285153,0.912639405204461,0.0,0.05018587360594796,0.027881040892193308,0.00929368029739777,0.0,0.05018587360594796,0.00929368029739777,0.005738880918220947,0.03873744619799139,0.06169296987087518,2,5,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-159.0,2001916.0,-0.22812051649928267,0.14225399471946942,29878.706319702604,0,900.0
